regime,start_date,end_date,bist_count,bist_mean,bist_std,bist_min,bist_p5,bist_median,bist_p95,bist_max,bist_neg_freq,bist_downside_std,gold_count,gold_mean,gold_std,gold_min,gold_p5,gold_median,gold_p95,gold_max,gold_neg_freq,gold_downside_std,corr_bist_gold,corr_bist_usdtry,corr_gold_usdtry
full_sample,2018-01-09,2025-12-31,1889,0.0012018770459747382,0.017254670928066835,-0.1030675135327676,-0.025619861819453298,0.0015135589107071,0.027142346687367026,0.0942191616575609,0.44573848597141347,0.013588147895508626,1889,0.0019187289892519553,0.015005726048177381,-0.1997054649709309,-0.01768481263749628,0.0019152200591907,0.022255996631988077,0.1473344745010063,0.42191635786130227,0.012542250460829862,-0.07572574553797626,-0.10789989943860398,0.755162447117364
high_inflation,2022-01-03,2025-01-31,722,0.002032469208014035,0.01845070522147204,-0.0901121386336996,-0.026581100384721213,0.0021620999672808,0.029416532822209438,0.0942191616575609,0.4224376731301939,0.013897636219836048,722,0.0016063235176466766,0.010383421377173062,-0.0511313829445079,-0.015329077476981855,0.00190907307381665,0.018713710676088326,0.0369857102994757,0.40443213296398894,0.0074617386723329175,-0.022329869770526877,-0.06106707683542545,0.4578746825483914
fx_stress,2018-08-01,2018-09-28,35,0.0008721166527255485,0.01619516336124458,-0.0351771837059704,-0.029790517281129438,0.0021734772332333,0.021662632975664533,0.0279033609426715,0.4857142857142857,0.011959138670756925,35,0.005239255794832523,0.038638808130097464,-0.0791653539103531,-0.05508964744490469,0.0077796051823266,0.0488816480096316,0.1473344745010063,0.37142857142857144,0.02501058111251776,-0.11170129720107617,-0.1779049965116542,0.98350839856871
tight_policy,2023-06-01,2025-12-31,636,0.0013126279918363067,0.016509977441396623,-0.0912370143505558,-0.023307011186573825,0.0006811621709230001,0.02793276426721865,0.0588051846768618,0.4779874213836478,0.011463394988314612,636,0.0023795863924285393,0.011372835060595124,-0.0511313829445079,-0.0148668964381202,0.002220946821545,0.019363765617653475,0.0628326632423146,0.3915094339622642,0.008312967319500432,-0.011899350380410003,0.04748417418775059,0.4434413802371909
